"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","is_red","free_to_total_sulfur_ratio","sulphates_to_chlorides_ratio","acidity_balance","alcohol_density_interaction","outlier_flag_count"
10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9,"5",1,0.547169800996796,6.38089161055609,9.76,9.89802,3
15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,"5",1,0.434782589792061,7.78939169061378,14.855,11.134965,3
9.9,0.54,0.26,2,0.111,7,60,0.99709,2.94,0.98,10.2,"5",1,0.116666664722222,8.82874929054693,9.36,10.170318,5
7.6,0.78,0,1.7,0.076,33,45,0.99612,3.31,0.62,10.7,"6",1,0.733333317037037,8.15778739753424,6.82,10.658484,4
7.3,0.73,0.24,1.9,0.108,18,102,0.9967,3.26,0.59,9.3,"5",1,0.17647058650519,5.46291238044092,6.57,9.26931,3
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,"6",1,0.259259249657065,11.8180283372943,6.36,9.38778,3
10.2,0.4,0.4,2.5,0.068,41,54,0.99754,3.38,0.86,10.5,"6",1,0.759259245198903,12.6468728401053,9.8,10.47417,5
7.8,0.48,0.68,1.7,0.415,14,32,0.99656,3.09,1.06,9.1,"6",1,0.437499986328125,2.55421071274527,7.32,9.068696,4
10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,"6",1,0.2599999948,9.7181729834791,9.51,9.2138,3
12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,"5",1,0.499999916666681,8.39988800149331,11.75,10.36776,3
7.4,0.58,0,2,0.064,7,11,0.99562,3.45,0.58,11.3,"6",1,0.636363578512402,9.06235840064999,6.82,11.250506,3
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,"6",1,0.428571397959186,6.35587834001407,10.51,9.78236,4
12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,"6",1,0.367647053416955,9.87939904338502,12.13,10.3948,3
10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,"5",1,0.199999986666668,10.1297385748237,9.68,9.59424,3
11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,"5",1,0.527272717685951,10.9998625017187,11.09,11.0011,4
10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,"8",1,0.384615355029588,11.2327228394132,9.98,12.56976,3
11.5,0.31,0.51,2.2,0.079,14,28,0.9982,3.03,0.93,9.8,"6",1,0.499999982142858,11.7720028860394,11.19,9.78236,4
12.9,0.35,0.49,5.8,0.066,5,35,1.0014,3.2,0.66,12,"7",1,0.14285713877551,9.99984848714413,12.55,12.0168,3
6.3,0.98,0.01,2,0.057,15,33,0.99488,3.6,0.46,11.2,"6",1,0.45454544077135,8.0700338590551,5.32,11.142656,3
10.2,0.23,0.37,2.2,0.057,14,36,0.99614,3.23,0.49,9.3,"4",1,0.38888887808642,8.59634041508044,9.97,9.264102,3
9.7,0.31,0.47,1.6,0.062,13,33,0.9983,3.27,0.66,10,"6",1,0.393939382001837,10.644989596942,9.39,9.983,3
8.6,0.635,0.68,1.8,0.403,19,56,0.99632,3.02,1.15,9.3,"5",1,0.339285708227041,2.85359093401753,7.965,9.265776,4
7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,"5",1,0.177777773827161,2.06218975091694,7.29,9.36992,4
7.6,0.735,0.02,2.5,0.071,10,14,0.99538,3.51,0.71,11.7,"7",1,0.71428566326531,9.99985915691328,6.865,11.645946,4
8.2,0.78,0,2.2,0.089,13,26,0.9978,3.37,0.46,9.6,"4",1,0.499999980769231,5.16848125301963,7.42,9.57888,3
12.1,0.4,0.52,2,0.092,15,54,1,3.03,0.66,10.2,"5",1,0.277777772633745,7.17383506701014,11.7,10.2,3
